155: g0-s0->s1, g1-s0, y0-s1->s2, y1-s1, b0-s2->s3, b1-s2, 
156: g0-s1, g1-s0, y0-s2, y1-s1, b0-s3, b1-s2, 
157: g0-s1, g1-s0, y0-s2, y1-s1->s3, b0-s3, b1-s2, 
158: g0-s1, g1-s0, y0-s2, y1-s3, b0-s3, b1-s2->s0, 
159: g0-s1, g1-s0, y0-s2, y1-s3, b0-s3, b1-s2->s0, 
160: g0-s1->s0, g1-s0, y0-s2, y1-s3, b0-s3, b1-s0, 
161: g0-s0, g1-s0, y0-s2, y1-s3, b0-s3, b1-s0, 
162: g0-s0, g1-s0->s3, y0-s2, y1-s3, b0-s3, b1-s0, 
163: g0-s0, g1-s0->s3, y0-s2, y1-s3, b0-s3, b1-s0, 
164: g0-s0, g1-s0->s3, y0-s2, y1-s3, b0-s3, b1-s0, 
165: g0-s0, g1-s3, y0-s2, y1-s3, b0-s3->s2, b1-s0, 
166: g0-s0, g1-s3, y0-s2, y1-s3, b0-s3->s2, b1-s0, 
167: g0-s0->s3, g1-s3, y0-s2, y1-s3, b0-s2, b1-s0, 
168: g0-s0->s3, g1-s3, y0-s2, y1-s3, b0-s2, b1-s0, 
169: g0-s0->s3, g1-s3, y0-s2, y1-s3->s1, b0-s2, b1-s0, 
170: g0-s3, g1-s3, y0-s2->s1, y1-s1, b0-s2, b1-s0, 
171: g0-s3, g1-s3, y0-s2->s1, y1-s1, b0-s2->s0, b1-s0, 
172: g0-s3, g1-s3, y0-s2->s1, y1-s1, b0-s2->s0, b1-s0, 
173: g0-s3, g1-s3, y0-s2->s1, y1-s1->s2, b0-s0, b1-s0->s2, 
174: g0-s3, g1-s3, y0-s1, y1-s1->s2, b0-s0, b1-s0->s2, 
175: g0-s3, g1-s3, y0-s1, y1-s1->s2, b0-s0, b1-s2, 
176: g0-s3, g1-s3, y0-s1->s3, y1-s1->s2, b0-s0, b1-s2, 
177: g0-s3, g1-s3, y0-s3, y1-s2, b0-s0, b1-s2, 
178: g0-s3, g1-s3->s0, y0-s3, y1-s2, b0-s0, b1-s2, 
179: g0-s3, g1-s3->s0, y0-s3, y1-s2, b0-s0, b1-s2, 
180: g0-s3, g1-s3->s0, y0-s3, y1-s2, b0-s0, b1-s2->s3, 
181: g0-s3->s0, g1-s0, y0-s3, y1-s2, b0-s0, b1-s2->s3, 
182: g0-s3->s0, g1-s0, y0-s3, y1-s2, b0-s0, b1-s3, 
183: g0-s3->s0, g1-s0, y0-s3, y1-s2, b0-s0, b1-s3, 
184: g0-s0, g1-s0, y0-s3->s1, y1-s2->s1, b0-s0, b1-s3, 
185: g0-s0, g1-s0, y0-s1, y1-s2->s1, b0-s0, b1-s3, 
186: g0-s0, g1-s0, y0-s1, y1-s2->s1, b0-s0, b1-s3, 
187: g0-s0, g1-s0, y0-s1->s2, y1-s2->s1, b0-s0, b1-s3, 
188: g0-s0, g1-s0, y0-s1->s2, y1-s1, b0-s0, b1-s3, 
189: g0-s0, g1-s0, y0-s1->s2, y1-s1->s3, b0-s0, b1-s3, 
190: g0-s0, g1-s0, y0-s1->s2, y1-s3, b0-s0, b1-s3->s2, 
191: g0-s0, g1-s0->s1, y0-s2, y1-s3, b0-s0, b1-s3->s2, 
192: g0-s0, g1-s1, y0-s2, y1-s3, b0-s0, b1-s2, 
193: g0-s0, g1-s1, y0-s2, y1-s3, b0-s0, b1-s2, 
194: g0-s0, g1-s1, y0-s2, y1-s3, b0-s0, b1-s2, 
195: g0-s0, g1-s1, y0-s2, y1-s3->s1, b0-s0, b1-s2, 
196: g0-s0, g1-s1->s0, y0-s2, y1-s1, b0-s0, b1-s2, 
197: g0-s0, g1-s0, y0-s2, y1-s1, b0-s0, b1-s2, 
198: g0-s0, g1-s0, y0-s2, y1-s1, b0-s0, b1-s2, 
199: g0-s0, g1-s0, y0-s2, y1-s1->s2, b0-s0, b1-s2->s0, 
200: g0-s0, g1-s0, y0-s2, y1-s1->s2, b0-s0->s2, b1-s2->s0, 
201: g0-s0->s1, g1-s0, y0-s2->s1, y1-s1->s2, b0-s0->s2, b1-s0, 
202: g0-s1, g1-s0, y0-s2->s1, y1-s1->s2, b0-s2, b1-s0, 
203: g0-s1, g1-s0, y0-s2->s1, y1-s2, b0-s2, b1-s0, 
204: g0-s1, g1-s0, y0-s2->s1, y1-s2, b0-s2->s3, b1-s0, 
205: g0-s1, g1-s0, y0-s1, y1-s2, b0-s2->s3, b1-s0, 
206: g0-s1, g1-s0, y0-s1, y1-s2, b0-s3, b1-s0, 
207: g0-s1, g1-s0->s3, y0-s1, y1-s2, b0-s3, b1-s0, 
208: g0-s1->s0, g1-s0->s3, y0-s1, y1-s2, b0-s3, b1-s0, 
209: g0-s0, g1-s0->s3, y0-s1, y1-s2, b0-s3, b1-s0, 
210: g0-s0, g1-s3, y0-s1, y1-s2->s1, b0-s3, b1-s0, 
211: g0-s0, g1-s3, y0-s1->s3, y1-s2->s1, b0-s3->s2, b1-s0, 
212: g0-s0, g1-s3, y0-s3, y1-s2->s1, b0-s3->s2, b1-s0, 
213: g0-s0, g1-s3, y0-s3, y1-s2->s1, b0-s2, b1-s0, 
214: g0-s0, g1-s3, y0-s3, y1-s1, b0-s2, b1-s0, 
215: g0-s0, g1-s3, y0-s3, y1-s1, b0-s2, b1-s0, 
216: g0-s0, g1-s3, y0-s3, y1-s1, b0-s2, b1-s0, 
217: g0-s0, g1-s3, y0-s3, y1-s1->s3, b0-s2, b1-s0, 
218: g0-s0, g1-s3, y0-s3, y1-s3, b0-s2, b1-s0, 
219: g0-s0, g1-s3, y0-s3, y1-s3, b0-s2->s0, b1-s0, 
220: g0-s0, g1-s3, y0-s3, y1-s3, b0-s2->s0, b1-s0, 
221: g0-s0->s3, g1-s3->s0, y0-s3, y1-s3, b0-s0, b1-s0, 
222: g0-s0->s3, g1-s3->s0, y0-s3, y1-s3, b0-s0, b1-s0, 
223: g0-s0->s3, g1-s3->s0, y0-s3, y1-s3, b0-s0, b1-s0, 
224: g0-s3, g1-s0, y0-s3, y1-s3, b0-s0, b1-s0, 
225: g0-s3, g1-s0, y0-s3, y1-s3, b0-s0, b1-s0->s2, 
226: g0-s3, g1-s0, y0-s3, y1-s3, b0-s0, b1-s0->s2, 
227: g0-s3, g1-s0, y0-s3, y1-s3, b0-s0, b1-s2, 
228: g0-s3, g1-s0, y0-s3, y1-s3, b0-s0, b1-s2, 
229: g0-s3, g1-s0, y0-s3->s1, y1-s3, b0-s0, b1-s2, 
230: g0-s3, g1-s0, y0-s1, y1-s3, b0-s0, b1-s2, 
231: g0-s3, g1-s0, y0-s1, y1-s3, b0-s0, b1-s2, 
232: g0-s3, g1-s0, y0-s1->s2, y1-s3, b0-s0, b1-s2->s3, 
233: g0-s3, g1-s0, y0-s1->s2, y1-s3, b0-s0, b1-s2->s3, 
234: g0-s3, g1-s0, y0-s1->s2, y1-s3->s1, b0-s0, b1-s3, 
235: g0-s3, g1-s0, y0-s1->s2, y1-s1, b0-s0, b1-s3, 
236: g0-s3->s0, g1-s0, y0-s2, y1-s1, b0-s0, b1-s3, 
237: g0-s3->s0, g1-s0, y0-s2, y1-s1, b0-s0, b1-s3, 
238: g0-s3->s0, g1-s0->s1, y0-s2, y1-s1->s2, b0-s0, b1-s3, 
239: g0-s0, g1-s1, y0-s2, y1-s1->s2, b0-s0, b1-s3->s2, 
240: g0-s0, g1-s1, y0-s2, y1-s1->s2, b0-s0, b1-s3->s2, 
241: g0-s0, g1-s1, y0-s2, y1-s1->s2, b0-s0, b1-s2, 
242: g0-s0, g1-s1, y0-s2, y1-s2, b0-s0, b1-s2, 
243: g0-s0, g1-s1, y0-s2, y1-s2, b0-s0->s2, b1-s2, 
244: g0-s0, g1-s1->s0, y0-s2, y1-s2, b0-s0->s2, b1-s2, 
245: g0-s0, g1-s0, y0-s2, y1-s2, b0-s2, b1-s2, 
