0: y1-s5, y0-s6, g0-s7, g1-s0, y3-s5, y2-s6, g2-s7, g3-s0, y5-s5, y4-s6, g4-s7, g5-s0, y7-s5, y6-s6, g6-s7, g7-s0, y9-s5, y8-s6, g8-s7, g9-s0, b1-s5, b0-s0, b3-s5, b2-s0, b5-s5, b4-s0, b7-s5, b6-s0, b9-s5, b8-s0, 
467: g8-s0, y8-s4, b4-s0, b5-s5, b7-s1, y9-s5, y6-s2->s1, y3-s2->s4, y1-s6->s4, g1-s1, g7-s2, b6-s1, g9-s1, y5-s1, g3-s1, b8-s1, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, 
468: y8-s4, g8-s0->s1, y3-s2->s4, y1-s6->s4, b7-s1, g1-s1, b6-s1, g9-s1, y5-s1, g3-s1, b8-s1, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, b5-s5, y9-s5, b4-s0, y6-s2->s1, g7-s2, 
469: b5-s5->s3, b4-s0, y8-s4, g8-s0->s1, y9-s5, b7-s1->s3, y3-s2->s4, y1-s6->s4, g1-s1, b6-s1, g9-s1, y5-s1, g3-s1, b8-s1, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s2->s1, g7-s2, 
470: y8-s4->s2, b5-s5->s3, y1-s6->s4, b4-s0, b6-s1, y3-s4, y9-s5, g8-s0->s1, g1-s1->s0, g7-s2->s1, g9-s1, y5-s1, g3-s1, b8-s1, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, b7-s1->s3, 
471: b4-s0->s1, y3-s4, b5-s5->s3, y9-s5, y1-s6->s4, g9-s1, b7-s1->s3, g7-s2->s1, y5-s1, g3-s1, b8-s1, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, y8-s4->s2, g1-s1->s0, b6-s1, 
472: g7-s2->s1, y8-s4->s2, b5-s5->s3, y1-s6->s4, g9-s1, y3-s4, b4-s0->s1, g1-s1->s0, y5-s1, b6-s1, g3-s1, b8-s1, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b7-s1->s3, y9-s5, 
473: b4-s0->s1, b7-s1->s3, g7-s2->s1, y3-s4->s6, b5-s5->s3, y1-s6->s4, g1-s0, y9-s5, g9-s1, b6-s1->s0, y8-s4->s2, y5-s1, g3-s1, b8-s1, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, 
474: y8-s2, b6-s1->s0, g9-s1->s2, b7-s1->s3, y3-s4->s6, g1-s0, y9-s5, b5-s5->s3, y5-s1, g7-s2->s1, g3-s1, b8-s1, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, y1-s6->s4, 
475: g1-s0, b7-s3, b6-s1->s0, g9-s1->s2, g7-s2->s1, y3-s4->s6, b5-s5->s3, y1-s6->s4, y5-s1, g3-s1, b8-s1, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, y8-s2, y9-s5, 
476: y3-s4->s6, b5-s5->s3, g9-s1->s2, g1-s0, y1-s6->s4, b6-s0, y5-s1, y9-s5, g7-s2->s1, g3-s1, y8-s2, b8-s1, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, b7-s3, 
477: y1-s4, g9-s1->s2, g7-s2->s1, b7-s3->s5, y3-s4->s6, y9-s5->s1, b5-s5->s3, g1-s0, y5-s1, y8-s2, b6-s0, g3-s1, b8-s1, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, 
478: y3-s4->s6, g1-s0, b6-s0, y9-s5->s1, y5-s1, b5-s3, g9-s1->s2, y8-s2->s1, b7-s3->s5, y1-s4->s2, g3-s1, b8-s1, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, 
479: b6-s0, g1-s0->s1, g9-s1->s2, y8-s2->s1, b5-s3->s1, b7-s3->s5, y1-s4->s2, y3-s4->s6, g3-s1, y5-s1, b8-s1, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, 
480: b5-s3->s1, y3-s4->s6, b6-s0, g1-s0->s1, g9-s1->s2, y5-s1, g3-s1, y8-s2->s1, b7-s3->s5, y1-s4->s2, b8-s1, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, 
481: b5-s3->s1, b6-s0, b7-s3->s5, y1-s4->s2, y3-s4->s6, g3-s1, g1-s0->s1, g9-s1->s2, y8-s2->s1, b8-s1, y5-s1, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, 
482: y5-s1->s2, y8-s2->s1, b5-s3->s1, y3-s4->s6, b6-s0, g3-s1, b8-s1, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, g9-s2, y1-s2, b7-s3->s5, 
483: b6-s0, g3-s1, y1-s2, y3-s6, y5-s1->s2, y8-s2->s1, g9-s2->s7, b7-s3->s5, b8-s1, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s3->s1, 
484: b6-s0->s1, g3-s1->s0, y5-s1->s2, b5-s3->s1, y3-s6, b7-s3->s5, b8-s1, g9-s2->s7, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, y8-s2->s1, y1-s2, 
485: b7-s3->s5, g3-s1->s0, y3-s6, y5-s1->s2, y8-s2->s1, g9-s2->s7, b8-s1, b6-s0->s1, y1-s2, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, 
486: b7-s5, y3-s6, b6-s0->s1, g3-s1->s0, y5-s1->s2, y8-s2->s1, g9-s2->s7, b8-s1, y1-s2, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, 
487: b7-s5, b8-s1->s0, y5-s1->s2, y1-s2->s1, g9-s2->s7, y3-s6->s4, g3-s0, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, 
488: b7-s5, g9-s7, b8-s1->s0, y5-s1->s2, y1-s2->s1, y3-s6->s4, g3-s0, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, 
489: b8-s1->s0, y1-s2->s1, g3-s0, y3-s6->s4, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, b7-s5, y5-s1->s2, g9-s7->s2, 
490: g3-s0, y0-s1, y5-s2, y1-s2->s1, b7-s5->s3, y3-s6->s4, g9-s7->s2, b8-s0, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, 
491: g3-s0, y1-s2->s1, b7-s5->s3, g9-s7->s2, b8-s0, y3-s6->s4, y0-s1, g0-s1, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y5-s2, 
492: y3-s6->s4, g3-s0, g9-s7->s2, b8-s0, g0-s1, y0-s1->s5, y1-s2->s1, y5-s2->s4, b7-s5->s3, b9-s1, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, 
493: g9-s7->s2, g3-s0, b8-s0, b9-s1, g0-s1->s2, y0-s1->s5, y1-s2->s1, y5-s2->s4, b7-s5->s3, y3-s6->s4, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, 
494: g3-s0, g9-s2, y0-s5, g0-s1->s2, y1-s2->s1, y5-s2->s4, b7-s5->s3, y3-s6->s4, b8-s0, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, b9-s1->s3, 
495: y0-s5, g3-s0->s1, g0-s1->s2, b9-s1->s3, g9-s2->s1, y5-s2->s4, b7-s5->s3, y3-s6->s4, b8-s0, b1-s1, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, 
496: y5-s4, g0-s1->s2, b9-s1->s3, g9-s2->s1, b7-s5->s3, b8-s0, y7-s1, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, y0-s5, y3-s6->s4, g3-s0->s1, b1-s1->s0, 
497: g0-s1->s2, b9-s1->s3, g5-s1, y7-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, b1-s1->s0, b8-s0, y5-s4, y0-s5, g3-s0->s1, g9-s2->s1, b7-s5->s3, y3-s4, 
498: b9-s1->s3, b8-s0, g9-s2->s1, b7-s5->s3, g5-s1, y5-s4, y0-s5, g0-s1->s2, g2-s1, y3-s4, y7-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b1-s1->s0, 
499: b7-s3, g5-s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s0, b9-s1->s3, b1-s0, y0-s5, y5-s4, g0-s1->s2, g9-s2->s1, y3-s4, y7-s1, 
500: g9-s2->s1, b8-s0->s1, g5-s1->s0, b1-s0, g0-s1->s2, y7-s1, g2-s1, b7-s3, y5-s4, b0-s1, b9-s3, y3-s4, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, y0-s5, 
501: b1-s0, g0-s2, b9-s3, b8-s0->s1, y7-s1->s2, b7-s3->s1, y5-s4->s6, y0-s5->s1, g2-s1, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, y3-s4, g9-s2->s1, g5-s1->s0, 
502: y5-s4->s6, y0-s5->s1, b9-s3, b8-s0->s1, y7-s1->s2, b1-s0, g5-s1->s0, g0-s2->s7, b7-s3->s1, g2-s1, y3-s4, b0-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, g9-s2->s1, 
503: g0-s2->s7, b7-s3->s1, b9-s3->s5, y5-s4->s6, b1-s0, g5-s0, b0-s1, y7-s1->s2, y3-s4->s2, y2-s1, g2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, 
504: g0-s2->s7, b9-s3->s5, y3-s4->s2, y5-s4->s6, b1-s0, g5-s0, b0-s1, y7-s1->s2, b7-s3->s1, y2-s1, g2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, 
505: b1-s0->s1, y7-s1->s2, g0-s2->s7, b7-s3->s1, b9-s3->s5, y3-s4->s2, y5-s4->s6, g5-s0, b0-s1, g2-s1, y2-s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, 
506: y7-s1->s2, b0-s1->s3, g2-s1, b7-s3->s1, g5-s0, g0-s2->s7, b9-s3->s5, y3-s4->s2, y5-s4->s6, y2-s1, b1-s0->s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, 
507: y7-s1->s2, b0-s1->s3, y5-s4->s6, g2-s1, g0-s7, g5-s0, b9-s3->s5, y2-s1, y3-s2, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s0->s1, 
508: y5-s4->s6, g5-s0, g0-s7->s2, y2-s1, y3-s2, y7-s1->s2, b9-s3->s5, g4-s1, g2-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, b0-s1->s3, 
509: g0-s7->s2, g5-s0->s1, y2-s1->s5, g4-s1, y3-s2->s1, b9-s3->s5, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g2-s1->s2, y7-s2, b0-s1->s3, y5-s4->s6, 
510: g0-s7->s2, g4-s1, g5-s0->s1, g2-s1->s2, b0-s1->s3, y3-s2->s1, y7-s2->s4, b9-s3->s5, y5-s4->s6, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, y2-s1->s5, 
511: y5-s6, g5-s0->s1, b0-s1->s3, y3-s2->s1, b9-s3->s5, g0-s7->s2, y2-s5, g4-s1, g2-s1->s2, y7-s2->s4, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, 
512: y5-s6, g2-s1->s2, g0-s7->s2, b0-s3, y7-s2->s4, y2-s5, b9-s5, y3-s2->s1, g4-s1, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, 
513: g0-s2, b0-s3, y2-s5, y7-s2->s4, y5-s6->s4, y4-s1, b9-s5, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s2->s1, g2-s1->s2, g4-s1, 
514: y3-s2->s1, y5-s6->s4, y4-s1, g0-s2, b0-s3, y7-s4, y2-s5, g2-s1->s2, b2-s1, b9-s5, g4-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, 
515: b0-s3->s5, y2-s5->s1, y5-s6->s4, y4-s1, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, b9-s5, g2-s1->s2, y7-s4, g4-s1, y3-s2->s1, g0-s2, 
516: b0-s3->s5, y2-s5->s1, y3-s2->s1, g0-s2, g2-s1->s2, g4-s1, b9-s5, y5-s6->s4, y4-s1, y7-s4, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, 
517: g2-s1->s2, y4-s1->s5, g0-s2->s1, b0-s3->s5, y5-s6->s4, b2-s1, g4-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, b9-s5, y7-s4, 
518: g4-s1->s2, y5-s6->s4, b2-s1, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, b9-s5, g0-s2->s1, g2-s2, y7-s4, y4-s1->s5, b0-s3->s5, 
519: y5-s6->s4, g2-s2, b9-s5, b2-s1->s3, g0-s2->s1, b0-s3->s5, y4-s5, g6-s1, b3-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, g4-s1->s2, y7-s4->s6, 
520: y4-s5, y5-s6->s4, b3-s1, b2-s1->s3, g0-s2->s1, g2-s2->s7, b0-s3->s5, y7-s4->s6, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, g4-s1->s2, g6-s1, b9-s5->s3, 
521: y5-s6->s4, b2-s1->s3, g0-s2->s1, b0-s3->s5, b9-s5->s3, y4-s5, b3-s1, g4-s1->s2, g2-s2->s7, y7-s4->s6, y6-s1, g6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, 
522: g4-s1->s2, b2-s1->s3, g0-s2->s1, g2-s2->s7, b0-s3->s5, y7-s4->s6, b9-s5->s3, y5-s6->s4, b3-s1, g6-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, y4-s5, 
523: y5-s4, g4-s1->s2, g0-s2->s1, y7-s4->s6, b3-s1, g6-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, y4-s5->s1, b2-s1->s3, g2-s2->s7, b0-s3->s5, b9-s5->s3, 
524: y6-s1, y5-s4, b0-s5, b3-s1->s0, g4-s1->s2, b2-s1->s3, g0-s2->s1, y7-s4->s6, y4-s5->s1, b9-s5->s3, g8-s1, g6-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, g2-s2->s7, 
525: y7-s4->s6, g2-s7, b0-s5, b9-s5->s3, b2-s3, y5-s4, b3-s1->s0, g4-s1->s2, g6-s1, y6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, g0-s1, y4-s1, 
526: b2-s3, y5-s4, b0-s5, b3-s1->s0, g4-s1->s2, y7-s4->s6, b9-s5->s3, g2-s7->s2, y6-s1, g6-s1, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, g0-s1, y4-s1, 
527: g4-s2, y5-s4, b0-s5, g6-s1->s2, y6-s1->s5, b2-s3->s5, y7-s4->s6, b9-s5->s3, g2-s7->s2, b3-s0, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, g0-s1, y4-s1, 
528: b0-s5, b3-s0->s1, g4-s2->s7, b2-s3->s5, y7-s4->s6, b9-s5->s3, g2-s7->s2, y5-s4->s2, g6-s1->s2, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, g0-s1, y4-s1, y6-s1->s5, 
529: y6-s5, y7-s6, b3-s0->s1, g6-s1->s2, b2-s3->s5, y5-s4->s2, b9-s5->s3, g2-s7->s2, g8-s1, b0-s5, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, g0-s1, y4-s1, g4-s2->s7, 
530: b9-s3, y6-s5, y7-s6, b3-s0->s1, g6-s1->s2, g4-s2->s7, b2-s3->s5, y5-s4->s2, b0-s5->s3, g2-s7->s2, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, g0-s1, y4-s1, 
531: b9-s3, y7-s6, g6-s1->s2, g4-s2->s7, b2-s3->s5, y5-s4->s2, b0-s5->s3, g8-s1, b4-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, g0-s1, y4-s1, b3-s1, g2-s2, y6-s5, 
532: g2-s2, g6-s1->s2, g4-s2->s7, b9-s3->s1, b2-s3->s5, b0-s5->s3, y7-s6->s4, b4-s1, y5-s2, g8-s1, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, g0-s1, y4-s1, b3-s1, y6-s5, 
533: b2-s3->s5, y6-s5->s1, y7-s6->s4, b0-s5->s3, b4-s1, y5-s2, g6-s1->s2, g2-s2->s1, g7-s1, g8-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, g0-s1, y4-s1, b3-s1, b9-s3->s1, g4-s7, 
534: g6-s1->s2, g2-s2->s1, b9-s3->s1, b2-s3->s5, y6-s5->s1, b0-s5->s3, y7-s6->s4, g4-s7->s2, b4-s1, g8-s1, y5-s2, g7-s1, y9-s1, g1-s1, b5-s1, b6-s1, y8-s1, y1-s1, g3-s1, b8-s1, g9-s1, y0-s1, b7-s1, b1-s1, g5-s1, y3-s1, y2-s1, g0-s1, y4-s1, b3-s1, 
